Time,willingyu,亦来云elastos,run,Click,hoangptsc,vv,artanker,kyama,1588,luongcuong1991,songhao,noon4343,memb,lemon,doufeelachill,1032501168,BlackyM,fgm999,airdropkinghk,ETFCorp
2018/06/13 12:00,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0
2018/06/13 18:00,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,14,0,0
2018/06/14 00:00,0,0,4,0,0,0,0,5,0,0,0,0,0,8,0,16,0,28,0,0
2018/06/14 06:00,0,0,6,0,0,0,0,37,0,0,0,0,0,13,0,27,0,29,0,0
2018/06/14 12:00,0,124,11,0,0,0,0,63,0,0,0,5,0,15,32,33,0,29,0,18
2018/06/14 18:00,0,138,11,0,0,0,0,78,0,0,0,5,0,15,39,36,0,29,0,24
2018/06/15 00:00,28,154,13,0,0,0,0,83,0,0,0,6,0,16,41,38,1,30,0,25
2018/06/15 06:00,28,169,25,0,0,0,2,85,0,0,0,6,0,16,41,38,2,30,0,25
2018/06/15 12:00,28,185,41,0,0,0,4,92,0,0,0,7,0,16,41,38,2,30,0,25
2018/06/15 18:00,28,188,41,0,0,0,4,93,0,0,0,7,0,16,41,38,2,30,0,25
2018/06/16 00:00,28,193,41,0,0,0,4,94,0,0,0,7,0,17,41,38,2,30,0,25
2018/06/16 06:00,28,195,42,0,0,0,4,96,0,0,0,7,0,17,41,38,2,30,0,25
2018/06/16 12:00,28,200,42,0,0,0,4,97,0,0,0,7,0,17,41,38,2,30,1,25
2018/06/16 18:00,28,205,42,0,0,0,4,97,0,0,0,7,0,17,42,38,2,30,1,25
2018/06/17 00:00,28,208,42,0,0,0,4,97,0,0,0,20,0,17,42,38,2,30,4,25
2018/06/17 06:00,28,208,67,0,0,0,4,97,0,0,0,31,0,17,42,38,2,30,11,25
2018/06/17 12:00,28,209,79,0,0,0,4,99,0,0,0,34,0,17,42,38,2,30,15,25
2018/06/17 18:00,28,209,79,0,0,0,4,99,0,0,0,34,0,17,42,38,5,30,15,25
2018/06/18 00:00,28,209,82,0,0,0,4,99,0,0,0,36,0,17,42,38,5,30,16,25
2018/06/18 06:00,28,209,118,0,0,0,4,100,0,0,0,37,0,17,42,38,8,30,16,25
2018/06/18 12:00,28,209,134,0,0,0,4,100,0,0,0,38,0,17,42,38,10,30,17,25
2018/06/18 18:00,28,209,134,0,0,0,4,102,0,0,0,38,0,17,42,38,10,30,17,25
2018/06/19 00:00,28,210,134,0,0,0,4,102,0,0,0,38,0,17,42,38,10,30,17,25
2018/06/19 06:00,28,210,139,8,0,0,4,102,0,0,0,39,0,17,42,38,10,30,17,25
2018/06/19 12:00,28,210,147,9,0,32,4,102,0,0,0,39,0,17,42,38,12,30,17,25
2018/06/19 18:00,28,210,147,9,0,32,4,102,0,0,0,39,0,17,42,38,15,30,17,25
2018/06/20 00:00,51,210,147,9,0,32,4,102,0,0,0,39,0,17,42,38,17,30,18,25
2018/06/20 06:00,85,211,152,51,0,32,4,102,0,0,0,39,0,17,42,38,18,30,18,25
2018/06/20 12:00,85,211,152,81,0,32,4,102,0,0,0,39,0,17,42,38,18,30,19,25
2018/06/20 18:00,85,211,152,86,0,32,4,102,0,0,0,39,0,17,42,38,18,30,19,25
2018/06/21 00:00,133,211,155,90,0,32,4,102,0,0,0,39,0,17,42,38,18,30,20,25
2018/06/21 06:00,179,211,164,100,0,52,4,102,0,0,0,39,0,40,42,38,19,30,21,25
2018/06/21 12:00,179,211,167,103,0,52,4,103,0,0,0,41,0,40,42,38,19,30,22,25
2018/06/21 18:00,179,211,167,104,0,52,4,103,0,0,0,42,0,40,42,38,19,30,22,25
2018/06/22 00:00,179,211,174,108,0,56,4,103,0,0,0,42,0,40,42,38,19,30,22,25
2018/06/22 06:00,251,211,177,108,0,56,4,103,2,0,0,42,0,40,42,38,19,30,22,25
2018/06/22 12:00,251,211,177,108,0,80,4,103,2,0,0,42,0,40,42,38,19,30,23,26
2018/06/22 18:00,251,211,177,108,0,80,4,103,2,0,0,42,0,40,42,38,19,30,23,26
2018/06/23 00:00,251,211,177,108,0,80,4,103,2,0,0,42,0,41,42,38,19,30,23,26
2018/06/23 06:00,251,211,177,108,0,86,4,103,39,0,0,42,0,41,42,38,19,30,25,26
2018/06/23 12:00,251,212,177,110,0,89,4,103,39,0,0,46,0,41,42,38,19,30,25,26
2018/06/23 18:00,251,212,177,110,0,89,4,103,39,0,0,47,0,41,42,38,19,30,25,26
2018/06/24 00:00,251,212,177,110,0,89,4,103,39,0,0,48,0,41,42,38,20,30,25,26
2018/06/24 06:00,251,212,177,111,0,89,4,103,53,0,0,48,2,41,42,38,21,30,26,26
2018/06/24 12:00,251,212,177,113,0,89,4,103,53,0,0,48,2,41,42,38,21,30,26,26
2018/06/24 18:00,251,212,177,113,0,89,4,103,53,0,0,48,2,41,42,38,21,30,26,26
2018/06/25 00:00,251,212,177,114,0,89,4,103,53,0,0,48,2,41,42,38,21,30,26,26
2018/06/25 06:00,251,212,177,114,0,89,4,103,54,28,0,48,2,41,42,38,21,30,26,26
2018/06/25 12:00,251,212,177,114,0,89,4,103,59,61,0,48,2,41,42,38,21,30,26,26
2018/06/25 18:00,251,212,177,114,0,89,4,103,59,61,0,48,2,41,42,38,22,30,26,26
2018/06/26 00:00,251,212,177,114,0,89,4,103,59,63,0,48,2,41,42,38,22,30,26,26
2018/06/26 06:00,251,212,177,114,0,89,8,103,59,74,0,48,3,41,42,38,22,30,26,26
2018/06/26 12:00,251,212,177,114,5,89,17,103,59,75,0,48,3,41,42,38,23,30,26,26
2018/06/26 18:00,251,213,177,114,5,89,17,103,59,75,0,48,3,41,42,38,25,30,26,26
2018/06/27 00:00,251,213,177,114,5,89,17,103,59,76,0,48,3,41,42,38,25,30,26,26
2018/06/27 06:00,251,214,177,114,5,89,17,103,70,80,0,48,3,41,42,38,25,30,26,26
2018/06/27 12:00,251,214,177,115,5,89,17,103,71,80,0,48,3,41,42,38,29,30,26,26
2018/06/27 18:00,251,214,177,115,5,89,17,103,71,80,0,48,3,41,42,38,29,30,26,26
2018/06/28 00:00,293,214,177,116,10,89,17,103,89,80,0,48,3,41,42,38,29,30,26,26
2018/06/28 06:00,371,214,179,117,12,89,26,103,89,80,0,48,3,41,42,38,30,30,26,26
2018/06/28 12:00,371,214,179,124,18,89,44,103,89,80,0,48,3,41,42,38,30,30,26,26
2018/06/28 18:00,371,214,179,124,20,89,48,103,89,80,0,48,3,41,42,38,30,30,26,26
2018/06/29 00:00,389,215,179,125,30,89,48,103,89,80,0,48,3,44,42,38,30,30,26,26
2018/06/29 06:00,391,218,180,127,30,89,51,103,89,80,0,48,3,44,42,38,30,30,26,26
2018/06/29 12:00,540,218,180,128,50,89,52,103,89,80,0,48,3,44,42,38,30,30,26,26
2018/06/29 18:00,540,218,180,128,50,89,58,103,89,80,0,48,3,44,42,38,30,30,26,26
2018/06/30 00:00,540,219,180,130,59,89,62,103,89,80,0,48,3,44,42,38,30,30,26,26
2018/06/30 06:00,540,221,180,130,69,89,80,103,89,80,13,48,3,44,42,38,30,30,26,26
2018/06/30 12:00,540,221,180,131,69,89,97,103,89,80,33,48,4,44,42,38,30,30,26,26
2018/06/30 18:00,540,221,180,131,69,89,97,103,89,80,33,48,7,44,42,38,32,30,26,26
2018/07/01 00:00,540,221,180,131,69,89,97,103,89,80,45,48,7,44,42,38,32,30,26,26
2018/07/01 06:00,540,221,180,131,92,89,97,103,89,80,52,48,14,44,42,38,33,30,27,26
2018/07/01 12:00,540,221,189,131,108,105,99,103,97,80,62,48,29,44,42,38,33,30,29,26
2018/07/01 18:00,540,221,189,131,108,105,102,103,97,80,62,48,29,44,42,38,33,30,29,26
2018/07/02 00:00,540,221,189,131,108,105,104,103,97,80,62,48,43,44,42,38,33,30,30,26
2018/07/02 06:00,106,106,44
