user_id,username,zone,country,fate_num
41100,willingyu,86,540,China
41742,亦来云elastos,86,219,China
41170,run,86,180,China
43322,Click,86,130,China
41433,kyama,81,103,Japan
42898,1588,86,89,China
42893,vv,86,89,China
44886,luongcuong1991,84,80,Vietnam
42362,artanker,375,62,Belarus
45030,hoangptsc,84,59,Vietnam
42006,noon4343,66,48,Thailand
41018,lemon,86,44,China
41915,doufeelachill,90,42,Turkey
41204,1032501168,86,38,China
42530,BlackyM,385,30,Croatia
41056,fgm999,86,30,China
41628,airdropkinghk,852,26,Hong Kong
41903,ETFCorp,31,26,Netherlands
41717,donnieb,1,24,USA|Canada
41252,Multastoy,62,21,Indonesia
