ID,Title,total
368,A: Russia vs. Saudi Arabia,806
369,A: Egypt vs. Uruguay,1440
370,B: Morocco vs. IR Iran,1411
371,B: Portugal vs. Spain,1404
372,C: France vs. Australia,1529
373,D: Argentina vs. Iceland,1559
374,C: Peru vs. Denmark,1435
375,D: Croatia vs. Nigeria,1423
376,E: Costa Rica vs. Serbia,1476
377,F: Germany vs. Mexico,1581
378,E: Brazil vs. Switzerland,1504
379,F: Sweden vs. Korea Republic,1526
380,G: Belgium vs. Panama,1563
381,G: Tunisia vs. England,1527
382,H: Colombia vs. Japan,1491
383,H: Poland vs. Senegal,1464
384,A: Russia vs. Egypt,1435
385,B: Portugal vs. Morocco,1538
386,A: Uruguay vs. Saudi Arabia,1543
387,B: IR Iran vs. Spain,1558
388,C: Denmark vs. Australia,1516
389,C: France vs. Peru,1560
390,D: Argentina vs. Croatia,1510
392,E: Brazil vs. Costa Rica,1554
393,D: Nigeria vs. Iceland,1459
394,E: Serbia vs. Switzerland,1395
395,G: Belgium vs. Tunisia,1460
396,F: Korea Republic vs. Mexico,1422
397,F: Germany vs. Sweden,1413
398,G: England vs. Panama,1427
399,H: Japan vs. Senegal,1378
400,H: Poland vs. Colombia,1379
401,A: Uruguay vs. Russia,1413
402,A: Saudi Arabia vs. Egypt,1374
403,B: IR Iran vs. Portugal,1454
404,B: Spain vs. Morocco,1426
406,C: Australia vs. Peru,1313
405,C: Denmark vs. France,1365
407,D: Nigeria vs. Argentina,1371
408,D: Iceland vs. Croatia,1345
409,F: Mexico vs. Sweden,1309
410,F: Korea Republic vs. Germany,1396
483,E: Switzerland vs. Costa Rica,829
411,E: Serbia vs. Brazil,1393
413,H: Japan vs. Poland,1389
414,H: Senegal vs. Colombia,1386
415,G: Panama vs. Tunisia,1400
416,G: England vs. Belgium,1414
496,1/8 France vs. Argentina,686
497,1/8 Uruguay vs. Portugal,655
498,1/8 Spain vs. Russia,625
499,1/8 Croatia vs. Denmark,591
500,1/8 Brazil vs. Mexico,570
501,1/8 Belgium vs. Japan,564
502,1/8 Sweden vs. Switzerland,526
503,1/8 Colombia vs. England,527
