VoteCount,willingyu,亦来云elastos,run,Click,hoangptsc,vv,artanker,kyama,1588,luongcuong1991,songhao,noon4343,memb,lemon,doufeelachill,1032501168,BlackyM,fgm999,airdropkinghk,ETFCorp
1,0,35,15,13,10,0,67,6,0,60,1,2,3,7,1,3,2,3,1,1
2,0,15,37,14,9,0,9,3,0,1,7,1,3,2,0,1,1,1,1,1
3,0,16,12,8,34,0,6,3,0,0,18,2,0,2,4,0,1,2,3,2
4,0,8,9,5,23,0,0,1,0,0,14,2,1,0,1,1,1,0,0,2
5,0,11,4,10,11,10,0,0,0,0,16,4,0,0,0,0,1,1,2,0
6,0,8,1,7,0,0,2,2,0,0,5,3,0,1,0,0,3,0,1,0
7,0,7,3,4,2,0,2,2,0,1,0,2,1,1,3,0,1,1,0,0
8,0,10,1,5,12,0,1,2,0,5,1,2,0,1,0,1,1,1,0,1
9,0,7,1,0,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0
10,0,4,1,3,0,0,0,2,0,1,0,0,0,0,3,0,0,1,0,2
11,0,1,0,2,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0
12,0,0,1,4,0,0,0,0,0,11,0,0,0,0,1,0,1,0,0,1
13,0,6,1,2,0,0,0,2,0,0,0,1,1,1,3,0,2,0,0,1
14,0,6,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0
15,0,1,0,3,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0
16,0,4,0,0,0,0,0,1,0,0,0,2,0,0,1,0,1,0,0,0
17,0,1,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,1,0
18,0,0,0,0,0,0,0,4,0,0,0,3,0,0,0,1,0,0,0,0
19,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0
20,0,0,0,2,0,0,0,1,0,0,0,2,0,0,1,3,1,0,0,0
21,0,2,0,1,0,0,0,2,0,0,0,0,0,1,0,1,0,0,0,1
22,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
23,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
24,0,0,3,1,0,0,0,1,0,0,0,0,0,2,2,0,2,0,0,0
25,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
27,0,1,0,0,0,0,0,1,0,0,0,2,0,1,0,0,1,0,1,0
28,0,0,0,4,0,0,0,1,0,0,0,0,0,1,2,0,0,0,1,0
29,0,2,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
30,0,0,0,2,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0
31,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
32,0,0,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,1
33,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
34,0,1,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0
35,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
36,0,2,2,0,0,0,0,1,0,0,0,2,0,0,2,0,0,1,1,0
37,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0
38,0,0,4,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0
39,0,2,3,3,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
40,0,0,0,0,0,0,0,0,0,0,0,3,0,0,1,0,1,0,3,0
41,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,1,0
42,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
43,0,0,0,0,0,0,0,2,0,0,0,2,0,0,0,2,1,1,0,0
44,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0
45,0,1,3,0,0,0,0,2,0,0,0,1,0,0,0,0,0,1,2,0
46,0,2,7,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0
47,0,6,9,0,0,0,0,2,0,0,0,0,0,0,4,4,0,0,0,2
48,0,5,0,1,0,0,0,11,0,0,0,0,0,1,1,2,0,5,2,1
49,0,2,1,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0
50,0,1,0,0,0,0,0,3,0,0,0,0,0,0,0,1,0,0,1,0
51,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
52,0,4,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0
53,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0
54,0,2,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
55,0,4,0,0,0,0,0,6,0,0,0,0,0,0,4,4,0,0,0,1
56,0,2,0,0,0,0,0,7,0,0,0,0,0,0,0,1,0,0,0,1
57,0,1,0,0,0,0,0,6,0,0,0,0,0,1,0,1,0,1,0,1
58,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Total,0,188,124,114,102,10,87,98,0,79,62,44,10,23,40,36,28,25,29,24
Fate_Num,540,221,189,131,108,106,105,103,97,80,62,48,44,44,42,38,33,30,30,26
